clip_id,class,x,y,w,h,query
e000011,car,852,148,132,48,Xe con màu đen đi từ phải sang trái qua ngã tư.
e000040,car,325,162,120,134,Xe con màu xanh đi từ xa về gần camera
e000022,truck,281,10,160,286,Xe tải đầu màu trắng thùng bạt đen đi từ xa về gần camera
e000027,motorcyclist,219,250,40,210,Người mặc áo đen đội nón bảo hiểm trắng chạy xe số màu đỏ đi từ xa về gần camera
video3_e000086,motorcyclist,581,316,138,196,Người mặc áo đen đội nón đỏ chạy xe máy màu đen đi thẳng ra xa camera rồi rẽ phải.
e000035,motorcyclist,748,190,128,170,Người mặc áo trắng đội nón xanh chạy xe số màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000061,motorcyclist,244,337,68,276,Người mặc áo xanh da trời đội nón đỏ chạy xe số màu đỏ đi thẳng về hướng camera.
19_video1_norm_e003,car,480,416,513,206,xe con màu be đi thẳng ra xa camera rồi rẽ phải.
video1_e000010,car,213,190,172,118,Xe con màu hồng đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000001,car,1488,166,116,50,Xe con màu nâu đất đi từ trái sang phải qua ngã tư.
e000019,motorcyclist,388,245,93,249,Người mặc áo xanh đội nón xanh chạy xe tay ga màu đỏ chở 1 người đi thẳng lại gần camera.
e000041,truck,0,37,282,265,Xe tải đầu màu trắng thùng xe phủ bạt xanh đi thẳng ra xa.
video4_e000094,motorcyclist,690,252,92,146,Người mặc áo vàng đội nón trắng chạy xe máy màu đỏ đi thẳng ra xa camera rồi rẽ phải.
e000003,truck,766,80,192,140,Xe tải đầu màu đen thùng xe phủ bạt đen đi từ trên xuống và đi thẳng qua ngã tư.
e000014,car,306,226,176,216,Xe con màu đỏ đi thẳng lại gần camera.
19_video14_norm_e005,motorcyclist,633,452,234,276,Người mặc áo xanh đội nón bảo hiểm trắng chạy xe máy màu đen chở 1 người Đi thẳng ra xa camera rồi rẽ phải.
e000055,motorcyclist,178,289,85,182,Người mặc áo ke ca ro đội nón xanh rêu chạy xe tay ga màu đen đi thẳng ra xa camera.
video7_e000152,motorcyclist,346,213,73,118,Người mặc áo đen đội nón đen chạy xe máy màu đen đi thẳng ra xa camera qua ngã tư.
e000106,motorcyclist,171,428,86,212,Người mặc áo be đội nón trắng chạy xe đạp màu đỏ đeo balo chở theo 1 người đi thẳng ra xa camera.
19_video3_norm_e002,car,942,129,121,44,xe con màu đen đi từ phải sang trái qua ngã tư.
19_video8_norm_e002,motorcyclist,870,374,172,249,Người mặc áo đen đội nón bảo hiểm bạc chạy xe số màu đen Đi thẳng ra xa camera rồi rẽ phải.
e000002,truck,1244,116,146,78,Xe tải đầu màu trắng thùng xe phủ bạt đen Đi từ phải sang trái qua ngã tư.
e000068,motorcyclist,349,288,62,193,Người mặc áo xanh đội nón đỏ chạy xe tay ga màu đen đi thẳng ra xa.
video11_e000040,car,413,244,338,233,Xe ô tô màu đỏ đi thẳng ra xa camera rồi rẽ phải.
e000084,truck,324,77,311,532,Xe tải đầu màu trắng thùng xe màu trắng đi thẳng lại gần camera.
e000148,car,159,144,153,158,Xe con màu đen đi thẳng ra xa.
e000089,car,327,281,185,257,Xe con màu trắng đi thẳng lại gần camera.
e000008,truck,1008,80,354,116,Xe tải đầu màu đỏ thùng xe màu xanh rêu đi từ phải sang trái qua ngã tư.
e000034,motorcyclist,213,293,52,250,Người mặc áo đen đội nón bảo hiểm xám chạy xe số màu đen đi từ xa về gần camera
e000009,car,1224,142,134,56,Xe con màu xám đi từ phải sang trái qua ngã tư.
e000091,motorcyclist,201,305,70,164,Người mặc áo trắng đội nón đỏ chạy xe số màu đen chở theo 1 người đi thẳng ra xa camera.
e000001,truck,232,58,1186,622,Container đầu màu trắng thùng xe màu xanh nước biển đi thẳng ra xa camera rồi rẽ phải.
e000013,motorcyclist,459,321,83,296,Người mặc áo trắng đội nón đen chạy xe tay ga màu đỏ chở 1 người đi thẳng lại gần camera.
19_video3_norm_e002,motorcyclist,886,401,161,244,Người mặc áo xanh lá đội nón bảo hiểm xanh chạy xe số màu đen Đi thẳng ra xa camera rồi rẽ phải.
19_video12_norm_e001,motorcyclist,460,376,173,238,Người mặc áo xám đội nón bảo hiểm đen chạy xe số màu trắng Đi thẳng ra xa camera qua ngã tư.
e000187,motorcyclist,367,278,64,253,Người mặc áo đen đội nón hồng chạy xe số màu trắng đi thẳng lại gần camera.
video5_e000130,truck,608,76,121,58,Xe tải đầu màu trắng thùng trắng Đi từ phải sang trái qua ngã tư.
e000060,motorcyclist,345,406,86,313,Người mặc áo xám đội nón xám chạy xe tay ga màu đỏ đi thẳng lại gần camera.
e000212,motorcyclist,314,289,90,296,Người mặc áo trắng đội nón đen chạy xe số màu đen chở hàng đi thẳng lại gần camera.
e000014,car,1202,148,100,44,Xe con màu xám đi từ phải sang trái qua ngã tư.
e000005,car,880,326,448,266,Xe con màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000122,motorcyclist,804,466,248,334,Người mặc áo đen đội nón đen chạy xe điện màu đen đi thẳng ra xa camera rồi rẽ phải.
19_video2_norm_e008,motorcyclist,180,310,113,154,Người mặc áo trắng đội nón bảo hiểm trắng chạy tay ga màu trắng chở 1 người Đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000031,motorcyclist,1272,160,82,92,Người mặc áo trắng đội nón trắng chạy xe số màu trắng đi từ trái sang phải qua ngã tư.
e000001,car,694,208,162,86,Xe con màu trắng đi thẳng ra xa camera qua ngã tư.
e000165,motorcyclist,992,232,88,168,Người mặc áo đỏ đội nón xanh chạy xe số màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
video2_e000073,motorcyclist,573,350,146,217,Người mặc áo xanh dương đội nón đỏ chạy xe máy màu đen đi thẳng ra xa camera rồi rẽ phải.
e000003,motorcyclist,60,402,120,154,Người mặc áo đen đội nón đen chạy xe số màu đen đi thẳng ra xa camera qua ngã tư.
e000062,motorcyclist,160,332,84,196,Người mặc áo cam đội nón xám chạy xe tay ga màu đen đi thẳng ra xa camera.
e000001,truck,212,120,1034,838,Xe tải đầu màu trắng thùng xe phủ bạt đen Đi thẳng ra xa camera rồi rẽ phải.
e000204,motorcyclist,351,370,90,349,Người mặc áo trắng đội nón trắng chạy xe số màu xanh đi thẳng lại gần camera.
video1_e000005,motorcyclist,444,325,108,188,Người mặc áo đen đội nón đen chạy xe máy màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
video11_e000033,car,449,85,165,58,Xe khách màu trắng đi từ trái sang phải qua ngã tư.
e000018,motorcyclist,219,246,42,204,Người mặc áo đen đội nón bảo hiểm trắng chạy xe tay ga màu đỏ đi từ xa về gần camera
e000093,truck,5,9,407,504,Container đầu màu đỏ thùng kín đi thẳng ra xa.
e000049,truck,337,100,210,398,Xe tải đầu màu trắng thùng xe phủ bạt đen đi thẳng lại gần camera.
e000018,motorcyclist,618,480,204,334,Người mặc áo đen đội nón đen chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000011,truck,190,220,948,732,Xe tải đầu màu trắng thùng kín Đi thẳng ra xa camera rồi rẽ phải.
e000169,motorcyclist,406,230,54,157,Người mặc áo cam đội nón bạc chạy xe tay ga màu đen đi thẳng ra xa.
e000042,truck,546,44,836,544,Container đầu màu đỏ thùng xe màu xanh Đi thẳng ra xa camera rồi rẽ phải.
video6_e000147,car,970,106,68,38,Xe ô tô màu trắng đi từ phải sang trái qua ngã tư.
e000009,car,472,398,590,320,Xe con màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000011,motorcyclist,261,260,48,197,Người mặc áo xám đội nón bảo hiểm đen chạy xe tay ga màu đỏ đi từ xa về gần camera
e000023,motorcyclist,198,257,64,254,Người mặc áo trắng đội nón trắng chạy xe tay ga màu trắng chở người đi thẳng về hướng camera.
e000001,truck,126,232,918,508,Xe tải đầu màu xanh dương thùng xe màu bạc đi thẳng ra xa camera rồi rẽ phải.
e000051,motorcyclist,263,388,87,214,Người mặc áo xanh lơ đội nón đỏ chạy xe số màu đen đi thẳng ra xa camera.
19_video10_norm_e011,car,473,368,614,240,xe khách màu bạc đi thẳng ra xa camera rồi rẽ phải.
video4_e000096,motorcyclist,185,333,144,189,Người mặc áo xám đội nón đen chạy xe máy màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000018,car,343,241,163,193,Xe con màu trắng đi từ xa về gần camera
e000010,car,770,122,216,112,Xe 16 chỗ màu xám đi từ trái sang phải qua ngã tư.
e000010,motorcyclist,318,269,55,178,Người mặc áo kẻ ca rô đội nón xanh dương chạy xe tay ga màu đỏ đi thẳng ra xa.
e000064,car,215,149,112,134,Xe con màu đen đi thẳng ra xa.
e000010,truck,308,61,188,274,Xe tải đầu màu xám thùng xe màu trắng đi thẳng lại gần camera.
e000003,motorcyclist,946,442,166,284,Người mặc áo xanh lá đội nón trắng chạy xe tay ga màu đỏ mận đi thẳng ra xa camera rồi rẽ phải.
19_video12_norm_e004,car,997,125,102,45,xe con màu trắng đi từ phải sang trái qua ngã tư.
video12_e000065,truck,245,116,234,140,Xe tải đầu màu trắng thùng trắng Đi thẳng qua ngã tư.
e000077,truck,22,86,255,198,Xe tải đầu màu trắng thùng rỗng đi thẳng ra xa.
e000160,motorcyclist,186,280,82,178,Người mặc áo nâu đội nón xám chạy xe số màu đỏ đi thẳng ra xa.
e000009,car,304,550,628,380,Xe con màu đỏ đi thẳng ra xa camera rồi rẽ phải.
video10_e000018,car,692,94,122,41,Xe ô tô màu đen đi từ trái sang phải qua ngã tư.
e000099,motorcyclist,509,345,94,284,Người mặc áo trắng đội nón đen chạy xe số màu đỏ chở hàng đi thẳng lại gần camera.
e000172,motorcyclist,441,254,69,240,Người mặc áo xám đội nón xám chạy xe tay ga màu trắng đi thẳng lại gần camera.
e000005,motorcyclist,1014,450,160,218,Người mặc áo kẻ ca rô đội nón đen chạy xe số màu đen chở theo 1 người đi thẳng ra xa camera rồi rẽ phải.
e000009,motorcyclist,551,353,84,330,Người mặc áo xám đội nón trắng chạy xe tay ga màu đen chở 1 người đi thẳng lại gần camera.
e000106,motorcyclist,367,306,91,330,Người mặc áo trắng đội nón đen chạy xe tay ga màu đỏ đi thẳng lại gần camera.
19_video14_norm_e010,car,296,434,588,241,xe con màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000186,motorcyclist,247,357,98,242,Người mặc áo đen đội nón đen chạy xe số màu đỏ chở người đi thẳng ra xa.
e000045,truck,354,48,213,325,Xe tải đầu màu trắng thùng xe màu xám đi thẳng lại gần camera.
e000054,truck,486,268,764,412,Xe tải đầu màu trắng thùng xe phủ bạt đen Đi thẳng ra xa camera rồi rẽ phải.
e000003,car,106,220,231,241,Xe con màu trắng đi thẳng ra xa.
e000032,motorcyclist,226,258,53,192,Người mặc áo xanh đội nón xanh chạy xe số màu xanh đi thẳng lại gần camera.
e000058,motorcyclist,123,261,53,232,Người mặc áo xanh ngọc đội nón đen chạy xe số màu đen trắng đi thẳng về hướng camera.
video2_e000075,car,133,316,498,301,Xe ô tô màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000052,truck,414,177,174,261,Xe bán tải đầu màu xanh thùng xe màu xanh đi thẳng lại gần camera.
e000146,car,82,190,181,189,Xe hơi màu đỏ đi thẳng ra xa.
e000005,motorcyclist,790,180,96,82,Người mặc áo vàng không đội nón chạy xe đạp màu đen đi từ trái sang phải qua ngã tư.
e000004,car,408,422,596,348,Xe 16 chỗ màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000124,motorcyclist,702,604,316,302,Người mặc áo trắng đội nón xanh chạy xe điện màu đen đi thẳng ra xa camera rồi rẽ phải.
e000134,motorcyclist,305,324,66,245,Người mặc áo xám đội nón trắng chạy xe tay ga màu đỏ đi thẳng ra xa.
e000048,car,241,118,78,97,Xe con màu xám đi từ xa về gần camera
e000226,motorcyclist,284,334,78,324,Người mặc áo đen đội nón xám chạy xe tay ga màu đen đi thẳng lại gần camera.
video5_e000126,car,708,96,96,49,Xe ô tô màu trắng đi từ phải sang trái qua ngã tư.
e000088,car,328,212,221,336,Xe con màu đen đi thẳng về hướng camera.
e000002,motorcyclist,334,444,192,254,Người mặc áo xám đội nón hồng chạy xe tay ga màu đen chở theo 1 người đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000103,car,77,210,177,164,Xe con màu đen đi thẳng ra xa.
e000116,truck,732,214,456,356,Xe cẩu đầu màu trắng có cẩu cam Đi thẳng ra xa camera rồi rẽ phải.
e000010,truck,1422,126,164,70,Xe tải đầu màu trắng thùng xe phủ bạt đen Đi từ phải sang trái qua ngã tư.
e000098,motorcyclist,360,222,49,168,Người mặc áo xanh đội nón trắng chạy xe số màu đen đi thẳng ra xa.
e000008,car,94,181,160,165,Xe con màu đen đi thẳng ra xa camera.
19_video2_norm_e006,car,334,409,589,253,xe con màu bạc đi thẳng ra xa camera rồi rẽ phải.
e000011,motorcyclist,504,313,91,344,Người mặc áo xám đội nón xám chạy xe số màu đen đi thẳng lại gần camera.
video6_e000139,car,289,313,408,234,Xe ô tô màu đỏ đi thẳng ra xa camera rồi rẽ phải.
e000006,truck,928,76,458,124,Container đầu màu trắng thùng xe màu xanh nước biển Đi từ phải sang trái qua ngã tư.
e000049,motorcyclist,295,293,88,260,Người mặc áo sọc đen đội nón đen chạy xe tay ga màu trắng đi thẳng về hướng camera.
e000145,motorcyclist,252,228,36,185,Người mặc áo đen đội nón bảo hiểm đỏ chạy xe số màu đỏ đi từ xa về gần camera
e000045,motorcyclist,274,340,85,316,Người mặc áo xám đội nón đen chạy xe số màu đỏ đi thẳng lại gần camera.
e000006,car,1466,240,150,88,Xe con màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000045,car,35,241,194,200,Xe con màu đỏ đi thẳng ra xa camera.
e000028,motorcyclist,492,354,53,277,Người mặc áo đen đội nón đen chạy xe số màu đỏ rẽ phải lại gần camera.
e000005,motorcyclist,542,692,252,328,Người mặc áo đen đội nón trắng chạy xe tay ga màu đỏ đi thẳng ra xa camera rồi rẽ phải.
video1_e000009,motorcyclist,286,317,104,156,Người mặc áo trắng đội nón đỏ chạy xe đạp màu đen đi thẳng ra xa camera qua ngã tư.
e000004,car,144,314,231,313,Xe con màu trắng đi thẳng ra xa.
e000031,motorcyclist,488,238,61,177,Người mặc áo đen đội nón xám chạy xe số màu trắng rẽ phải ra xa camera.
e000150,truck,220,70,76,157,Xe tải đầu màu trắng thùng kín đi từ xa về gần camera
